Tangibility,Reliability,Responsiveness,Assurance,Empathy,customer_Satisfaction,customer_loyalty
4.0,4.0,5.0,4.0,4.0,4.0,5.0
3.0,2.0,2.5,2.33,2.67,2.75,2.8
2.5,2.0,3.0,3.0,3.67,3.25,2.4
1.5,1.5,2.0,2.0,1.67,2.0,2.0
3.0,2.0,2.0,2.0,2.33,2.5,3.2
1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.5,4.0,3.5,3.67,3.67,4.5,5.0
4.0,5.0,4.5,4.0,3.0,4.0,4.0
3.5,3.0,4.0,2.0,3.0,3.25,2.4
4.0,4.0,4.0,4.0,4.0,4.0,4.4
2.0,2.5,3.0,2.0,3.33,2.75,3.4
3.0,2.0,2.5,2.33,2.67,2.75,2.8
2.5,1.5,1.5,1.33,1.0,1.5,1.0
4.0,3.0,5.0,5.0,4.0,5.0,5.0
2.5,2.5,3.0,2.67,3.0,2.75,2.2
3.5,2.0,2.5,3.0,3.0,3.0,3.0
2.0,2.0,1.5,1.33,1.33,1.25,1.4
5.0,4.5,3.5,4.67,4.33,4.75,4.6
5.0,4.5,3.5,4.67,4.33,4.75,4.6
3.0,2.5,3.5,2.67,1.67,2.5,2.6
2.0,2.0,3.0,2.33,3.0,3.0,2.0
1.0,1.0,2.0,1.0,1.0,1.0,1.0
4.0,4.0,4.0,4.0,4.0,4.0,4.4
4.0,3.0,5.0,5.0,4.0,5.0,5.0
4.0,3.5,4.5,3.33,4.33,4.0,4.0
1.5,1.0,2.0,1.67,2.0,2.0,2.2
3.0,3.0,3.0,3.33,3.0,3.75,3.6
3.0,3.0,4.0,4.33,3.67,4.0,4.0
3.0,2.5,3.0,2.33,2.33,3.0,2.4
3.0,3.0,3.0,3.0,3.0,3.0,3.0
5.0,5.0,3.5,3.67,5.0,4.0,4.4
3.0,4.0,3.0,3.0,2.67,3.0,2.6
3.0,3.0,3.0,3.0,3.0,3.0,3.0
